trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl_pips,pnl_dollars,exit_reason,session,day_of_week,prior_4h_direction,atr_at_entry,holding_bars,sample
T1175,2020-03-10 15:00:00,2020-03-10 22:00:00,SHORT,1.12781,1.13292,-51.099999999999476,-46.092199999999536,time_stop,NY,Tuesday,BEAR,0.003677992427963688,7,IS
T1194,2020-03-11 10:00:00,2020-03-11 17:00:00,SHORT,1.12788,1.12584,20.400000000000418,13.321200000000273,time_stop,LONDON,Wednesday,BEAR,0.0030049432005428366,7,IS
T1242,2020-03-13 10:00:00,2020-03-15 16:00:00,SHORT,1.10683,1.11905,-122.2000000000012,-49.61320000000048,stop_loss,LONDON,Friday,BEAR,0.003791613416251386,54,IS
T1271,2020-03-16 15:00:00,2020-03-16 22:00:00,LONG,1.11833,1.11789,-4.3999999999999595,-5.4339999999999495,time_stop,NY,Monday,BULL,0.00407816401748737,7,IS
T1289,2020-03-17 09:00:00,2020-03-17 16:00:00,SHORT,1.0969200000000001,1.10076,-38.399999999998435,-37.324799999998476,time_stop,LONDON,Tuesday,BEAR,0.003513810717363523,7,IS
T1318,2020-03-18 14:00:00,2020-03-18 21:00:00,LONG,1.08999,1.08809,-19.000000000000128,-9.139000000000062,time_stop,NY,Wednesday,BULL,0.0038592332947358825,7,IS
T1409,2020-03-24 09:00:00,2020-03-24 16:00:00,SHORT,1.07833,1.07829,0.40000000000040004,0.22240000000022242,time_stop,LONDON,Tuesday,BEAR,0.00422814423806767,7,IS
T1438,2020-03-25 14:00:00,2020-03-25 21:00:00,LONG,1.0885,1.09143,29.29999999999877,30.82359999999871,time_stop,NY,Wednesday,BULL,0.0032406404594365833,7,IS
T1457,2020-03-26 09:00:00,2020-03-26 16:00:00,LONG,1.09927,1.10291,36.40000000000087,26.280800000000635,time_stop,LONDON,Thursday,BULL,0.002897299333369678,7,IS
T1486,2020-03-27 14:00:00,2020-03-29 23:00:00,LONG,1.1124,1.10803,-43.69999999999985,-34.52299999999988,time_stop,NY,Friday,BULL,0.0030824871867281517,57,IS
T1532,2020-03-31 14:00:00,2020-03-31 21:00:00,LONG,1.10209,1.10151,-5.800000000000249,-4.877800000000209,time_stop,NY,Tuesday,BULL,0.0030637122597084836,7,IS
T1557,2020-04-01 15:00:00,2020-04-01 22:00:00,LONG,1.09489,1.09341,-14.799999999999258,-15.007199999999248,time_stop,NY,Wednesday,BULL,0.002519511296172044,7,IS
T1575,2020-04-02 09:00:00,2020-04-02 16:00:00,SHORT,1.08501,1.08561,-5.999999999999339,-3.5819999999996055,time_stop,LONDON,Thursday,BEAR,0.0023459914554223044,7,IS
T1604,2020-04-03 14:00:00,2020-04-05 21:00:00,LONG,1.08117,1.0817,5.300000000001415,7.367000000001967,time_stop,NY,Friday,BULL,0.002243351145710994,55,IS
T1695,2020-04-09 09:00:00,2020-04-09 16:00:00,LONG,1.09324,1.09285,-3.8999999999989043,-2.2268999999993744,time_stop,LONDON,Thursday,BULL,0.0020287744946729538,7,IS
T1744,2020-04-13 10:00:00,2020-04-13 17:00:00,SHORT,1.08988,1.09071,-8.300000000001084,-11.85240000000155,time_stop,LONDON,Monday,BEAR,0.0014884735373021083,7,IS
T1773,2020-04-14 15:00:00,2020-04-14 22:00:00,LONG,1.0987,1.09811,-5.9000000000009045,-10.684900000001639,time_stop,NY,Tuesday,BULL,0.0015393662649769012,7,IS
T1839,2020-04-17 09:00:00,2020-04-17 16:00:00,LONG,1.08873,1.08711,-16.199999999999548,-14.223599999999603,time_stop,LONDON,Friday,BULL,0.0019607055213861036,7,IS
T1869,2020-04-20 15:00:00,2020-04-20 22:00:00,SHORT,1.08554,1.08308,24.599999999999067,39.630599999998495,time_stop,NY,Monday,BEAR,0.001617426173465674,7,IS
T1888,2020-04-21 10:00:00,2020-04-21 17:00:00,LONG,1.08604,1.08583,-2.0999999999982144,-2.7299999999976787,time_stop,LONDON,Tuesday,BULL,0.0018443847161691927,7,IS
T1936,2020-04-23 10:00:00,2020-04-23 17:00:00,LONG,1.08289,1.07774,-51.49999999999988,-37.13149999999991,time_stop,LONDON,Thursday,BULL,0.0019151796333274397,7,IS
T2008,2020-04-28 10:00:00,2020-04-28 17:00:00,SHORT,1.08311,1.08212,9.900000000000464,8.09820000000038,time_stop,LONDON,Tuesday,BEAR,0.0016329059879729997,7,IS
T2037,2020-04-29 15:00:00,2020-04-29 22:00:00,LONG,1.08765,1.08621,-14.400000000001079,-22.6656000000017,time_stop,NY,Wednesday,BULL,0.0014973541510268148,7,IS
T2055,2020-04-30 09:00:00,2020-04-30 10:00:00,SHORT,1.0857700000000001,1.09541,-96.3999999999987,-157.1319999999979,stop_loss,LONDON,Thursday,BEAR,0.0017293968088613007,1,IS
T2104,2020-05-04 10:00:00,2020-05-04 17:00:00,SHORT,1.0915000000000001,1.09007,14.300000000000423,22.765600000000678,time_stop,LONDON,Monday,BEAR,0.0016155855802093854,7,IS
T2156,2020-05-06 14:00:00,2020-05-06 21:00:00,SHORT,1.08019,1.08001,1.80000000000069,5.326200000002042,time_stop,NY,Wednesday,BEAR,0.0015543561796596249,7,IS
T2205,2020-05-08 15:00:00,2020-05-10 22:00:00,SHORT,1.0835700000000001,1.08478,-12.099999999999334,-29.959599999998346,time_stop,NY,Friday,BEAR,0.0015454932298727055,55,IS
T2223,2020-05-11 09:00:00,2020-05-11 12:00:00,LONG,1.0834,1.0807499999999999,-26.500000000000412,-55.676500000000864,stop_loss,LONDON,Monday,BULL,0.0013803323696416907,3,IS
T2247,2020-05-12 09:00:00,2020-05-12 16:00:00,LONG,1.08785,1.08472,-31.30000000000077,-31.67560000000078,time_stop,LONDON,Tuesday,BULL,0.0014761875084494415,7,IS
T2343,2020-05-18 09:00:00,2020-05-18 13:00:00,LONG,1.08585,1.0917,58.499999999999105,53.702999999999186,take_profit,LONDON,Monday,BULL,0.0013374114641514995,4,IS
T2367,2020-05-19 09:00:00,2020-05-19 16:00:00,SHORT,1.09331,1.09221,11.000000000001009,14.080000000001291,time_stop,LONDON,Tuesday,BEAR,0.0015992856835027524,7,IS
T2439,2020-05-22 09:00:00,2020-05-22 16:00:00,SHORT,1.08949,1.0898,-3.1000000000003247,-7.554700000000792,time_stop,LONDON,Friday,BEAR,0.001375974768686624,7,IS
T2468,2020-05-25 14:00:00,2020-05-25 20:00:00,LONG,1.08995,1.09092,9.699999999999154,51.25479999999553,take_profit,NY,Monday,BULL,0.0010290493567392221,6,IS
T2488,2020-05-26 10:00:00,2020-05-26 17:00:00,LONG,1.0988,1.09759,-12.099999999999334,-15.37909999999915,time_stop,LONDON,Tuesday,BULL,0.00124506294485784,7,IS
T2517,2020-05-27 15:00:00,2020-05-27 22:00:00,LONG,1.09986,1.1018,19.399999999998307,28.129999999997544,time_stop,NY,Wednesday,BULL,0.0019362242149832906,7,IS
T2535,2020-05-28 09:00:00,2020-05-28 14:00:00,LONG,1.10401,1.1088099999999999,47.999999999999154,55.103999999999026,take_profit,LONDON,Thursday,BULL,0.0017715643446821181,5,IS
T2560,2020-05-29 10:00:00,2020-05-29 12:00:00,SHORT,1.1124100000000001,1.10983,25.800000000000267,55.753800000000574,take_profit,LONDON,Friday,BEAR,0.0017099412976919405,2,IS
T2584,2020-06-01 10:00:00,2020-06-01 17:00:00,LONG,1.1138299999999999,1.11312,-7.099999999997664,-8.78269999999711,time_stop,LONDON,Monday,BULL,0.0017826818272236417,7,IS
T2656,2020-06-04 10:00:00,2020-06-04 17:00:00,LONG,1.1344699999999999,1.13357,-8.999999999999009,-2.8349999999996878,time_stop,LONDON,Thursday,BULL,0.002378555670728451,7,IS
T2727,2020-06-09 09:00:00,2020-06-09 16:00:00,LONG,1.13497,1.13395,-10.200000000000209,-5.905800000000121,time_stop,LONDON,Tuesday,BULL,0.0019122745482726465,7,IS
T2756,2020-06-10 14:00:00,2020-06-10 21:00:00,LONG,1.13922,1.13895,-2.6999999999999247,-2.6756999999999254,time_stop,NY,Wednesday,BULL,0.0021990032985364913,7,IS
